1	296.4	307.4	2833	5.6	213
2	295.8	306.3	1235	76.2	89
1	295.7	306.2	2270	14.6	149
2	296.3	307.2	1319	68.3	24
1	296.9	307.5	2721	9.3	18
3	296.6	307.7	1386	62.3	100
2	296.7	307.8	1258	69	105
1	297	307.9	1296	69.1	153
1	298.4	309.5	2153	15.3	98
1	298.9	310.2	2737	8.8	142
2	298	308.7	1479	58.5	176
1	298.3	308	2886	3.8	57
1	298.2	307.9	1313	67.3	67
1	298.1	307.7	2567	12.8	125
1	298.5	308.2	1301	66.3	42
1	299.3	308.9	1258	69.4	119
1	299.5	308.7	2549	13	179
1	299.4	308.7	1446	62.9	134
2	298.9	308.2	1372	63.6	30
1	299.2	308.6	1267	68.2	76
1	299.1	308.8	1320	67.5	20
2	300.6	309.4	1367	63.2	45
3	300.5	309.8	1324	72.8	159
3	300.4	309.9	2563	12.8	81
1	301.5	310.9	2760	8	15
2	301.5	310.4	2639	12	21
1	301.8	310.6	2672	11.8	124
2	302.7	311.6	2709	9.7	2
1	302.6	311.5	1442	59.8	169
1	302.1	311.2	1454	59.2	153
1	301.9	311	2691	12.1	31
1	301.9	310.6	1331	68.6	85
1	302.6	311	1284	68	114
2	301.8	310.1	2372	13.9	205
1	301.8	310.2	2825	5.8	215
2	301.7	309.8	1284	68.2	111
2	302	309.7	1386	62.7	142
1	302.6	310.4	1365	66.8	80
2	302.6	310.2	2676	10.8	84
2	303.7	312	2663	11.4	71
1	303.4	312.2	1337	69.4	52
1	303.5	312.4	1284	70.6	94
1	303.8	313.1	2497	13	5
2	303.6	312.8	2659	11.4	26
3	304	313.2	1271	68.6	161
2	303.4	312.6	2706	9.8	65
1	302.6	312.1	1288	68.5	0
2	303	312.2	1257	71.3	122
1	303.1	312.4	1404	61.5	127
1	302.4	311.9	1290	70	139
1	300.7	310.9	1356	65.3	66
1	301.1	310.9	1282	67.9	10
1	301.1	310.4	1312	73.6	49
2	301.4	310.7	1368	63.7	92
2	301.6	310.6	1309	65.8	75
2	301.5	310.7	1336	65.6	0
2	301.1	310.7	2636	12.2	100
1	300.8	311.4	1322	67.2	18
1	300.7	311.1	2478	13.4	170
1	300.5	310.5	2633	12.2	17
1	299.9	310.2	1288	69.6	62
1	300.1	311.3	2579	12.5	64
2	300.3	311.2	1381	65.2	136
1	300.2	311	1255	71.8	149
1	300.4	311.6	1200	76.6	3
1	300.8	312.4	1465	59.1	91
2	301	312.2	2710	9.7	143
2	299	310.3	1303	68.6	111
2	298.7	310.1	1402	69.7	64
1	298.5	309.7	2617	12.1	102
2	297.5	308.1	1334	72	151
1	297.8	309	1403	64.2	0
1	299	310.2	1377	62.5	92
1	298.5	309.5	1294	66.7	12
