2	298.4	308	1416	38.2	198
2	299.6	309.2	1867	23.4	225
2	299.3	308.4	1542	37.5	203
2	299.7	309.3	1399	41.9	221
3	300.6	309.4	1380	47.6	246
2	300.7	309.6	1996	19.8	203
1	301.9	310.9	1567	39	214
1	301.7	310.9	1405	46.4	207
1	302.2	311.3	1530	37.3	207
3	302.6	311.5	1629	34.4	228
1	302	310.8	1615	29	235
2	302.3	310.9	1710	30.4	218
1	301.8	309.7	1442	45.3	233
1	302.7	310.5	1446	40.9	211
1	303.3	311.4	1497	46	234
1	303.4	312	1521	35.9	215
1	304.4	313.7	1509	35	205
2	303.9	313.2	1422	48	215
2	302.6	312.3	1454	54.8	253
3	300.7	310.2	1364	65.3	208
2	300.4	310.2	1671	30.5	234
1	300.8	310.6	1577	37.9	227
1	301	310.6	1493	37.8	206
3	300.5	309.9	1397	45.9	210
3	300.3	309.9	1394	46.7	210
1	301.7	311	1441	44.3	208
1	300.6	310.3	1648	30.5	217
2	300	311.4	1692	29	216
1	300.5	311.8	1524	38.9	214
2	300.7	311.7	2097	18.9	232
2	300.3	311.7	1374	47.9	222
2	300.4	311.8	1553	33.1	209
1	299.2	310.7	1737	27	225
1	298.5	309.5	1385	46.3	203
1	297.4	308.3	1475	40.5	222
1	297.1	308.5	1323	44.4	207
2	297.4	308.8	1325	62.4	204
1	297.3	308.1	1615	35.4	217
1	297.8	308.9	1871	25.6	200
1	299.6	310.7	1922	23.3	205
1	298.6	309.8	2271	16.2	218
