1	301.9	310.4	1370	51.7	153
1	302.1	310.7	1325	45.1	208
2	302.1	310.7	1376	46.3	210
2	302.1	310.7	1364	47.8	213
1	301.9	310.4	1286	62.8	22
1	301.7	310.2	1311	57.4	40
1	301.7	310.2	1331	61.2	47
2	301.9	310.4	1373	48	73
2	302	310.4	1212	55.6	79
1	302	310.5	1370	44.4	85
1	302	310.5	1263	60.6	90
1	302.2	310.6	1346	47.5	109
2	302.2	310.6	1355	51.5	126
2	302.2	310.6	1346	49.2	134
1	302.4	310.9	1349	46.1	148
1	302.4	310.7	1362	54.8	155
1	302.2	310.6	1334	53.2	159
1	302.2	310.6	1348	48.4	161
1	302.1	310.7	1314	52.8	8
1	302.1	310.7	1359	49.3	41
1	302.6	311	1369	60	93
1	302.5	310.9	1330	56.9	97
3	302.5	310.9	1356	55.5	101
2	302.6	311	1329	48.6	111
2	302.7	311.1	1297	60.7	125
1	302.6	310.9	1331	52	154
1	302	310.1	1361	45.4	174
1	301.9	309.9	1374	48.5	180
2	301.8	309.9	1334	61	182
1	301.7	309.9	1317	49	187
1	301.4	309.9	1259	63.9	20
1	301.8	310.3	1341	50.5	64
1	301.6	310.1	1362	55.8	70
1	301.6	310.1	1326	48.2	77
3	302	309.8	1280	57.3	147
2	302.1	310.1	1379	48.2	166
2	302.1	310	1355	45.1	6
2	302.2	310.1	1368	51.6	12
1	302.3	310.1	1353	50.9	36
1	302.4	310.2	1331	45.5	53
1	302.5	310.3	1326	58.5	55
2	302.4	310.1	1358	54.6	61
1	302.6	310.2	1325	62.4	92
2	302.4	310.1	1379	48.9	107
1	302.3	310.1	1321	52.7	134
1	302.5	310.2	1329	50.6	148
1	302.4	310.3	1374	51.2	163
2	302.4	310.3	1378	54.3	165
1	302.7	310.5	1351	41.8	10
3	302.7	310.4	1305	55.2	20
1	302.6	310.4	1359	57.2	67
1	302.5	310.2	1307	54	86
1	302.4	310.2	1346	62.4	106
2	302.4	310.5	1372	45.7	144
2	302.4	310.3	1375	52.5	161
1	302.4	310.2	1351	45.1	168
1	302.5	310.4	1349	55.1	187
2	302.7	310.6	1349	51.2	6
1	302.7	310.7	1369	47.5	11
3	302.7	310.8	1275	55	25
1	302.8	310.9	1312	52.2	40
1	303	311.2	1374	48.2	65
1	303	311.2	1361	47.6	106
1	303	311	1359	44.2	115
2	303	311.1	1372	54.3	117
1	303	311.3	1365	56.2	146
2	303	311.3	1335	53.6	164
1	303.1	311.3	1336	52.6	172
1	303	311.2	1341	51	174
2	302.9	311.2	1330	53.7	200
1	303.2	311.4	1349	51.1	9
1	303.3	311.3	1350	48.1	32
2	303.4	311.4	1307	54	44
2	303.3	311.5	1373	47.3	60
1	303.6	311.8	1222	66.8	148
1	303.3	311.6	1337	56.8	187
2	303.4	311.7	1353	44.1	192
1	303.4	311.8	1366	50.9	200
2	303.4	311.8	1341	47	210
1	303.3	311.6	1301	45.1	219
2	303.2	311.5	1336	58.2	2
1	303.2	311.4	1351	53.8	8
1	303.2	311.2	1363	46.7	29
1	303.4	311.7	1295	51.3	51
1	303.5	311.6	1361	46.5	62
3	303.7	311.9	1332	52.7	66
1	303.6	312	1309	52.9	86
1	303.5	311.9	1344	49.3	93
3	303.6	312.2	1371	54.6	112
1	303.5	312	1366	54.5	30
1	303.4	311.9	1377	41.6	34
1	303.3	311.8	1315	62	42
1	303.4	311.9	1298	63.9	59
2	303.4	311.8	1316	50.9	69
1	303.7	312.1	1363	51.8	90
